CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,IDM,DBDAX,DBDATSCN,SO_CKTTDCKT,KCRTT,MTDC,MTCD,LCD,CNGSDKTTDL,UDM,I_CAT_DM,LOAI_TBI
0022D00_RECLOSER,USING,HSX.00126,2014,TB040.00012,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00161,2016,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2005,TB040.00012,TB0631,PB-500012,125,50,320,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2007,TB040.00117,TB0632,PB-500012,125,50,329,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.1,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00299,2016,TB040.00117,TB0631,PB-500012,125,50,1200,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00180,2013,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.14
0022D00_RECLOSER,USING,HSX.00126,2015,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,150,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.14
0022D00_RECLOSER,USING,HSX.00126,2005,TB040.00012,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2014,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00274,2011,TB040.00117,TB0631,PB-500012,125,50,5,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,PB-100088,2021,TB040.00001,TB0632,PB-500013,125,50,5,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,PB-500525
0022D00_RECLOSER,USING,HSX.00126,2015,TB040.00012,TB0632,PB-500012,125,50,100,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.001,EVN.CO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.1,NULL
0022D00_RECLOSER,USING,HSX.00274,2008,TB040.00117,TB0632,PB-500012,125,50,12,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00299,2015,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2006,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,HH,HSX.00274,2000,TB040.00117,TB0632,PB-500012,125,50,26,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2012,TB040.00117,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2009,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,RETIRE,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,NULL
0022D00_RECLOSER,USING,HSX.00126,2018,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,USING,HSX.00126,2004,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2010,TB040.00012,TB0631,PB-500012,125,50,12000,PB-500047,PE2045,PB-500116,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.6,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2014,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2015,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,TVH,HSX.00126,2015,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0632,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.6,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.6,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2010,TB040.00117,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2010,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00117,TB0631,PB-500012,125,50,320,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2016,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.11
0022D00_RECLOSER,RETIRE,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,NULL
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00117,TB0631,PB-500012,125,50,1200,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,NOTUSE,HSX.00126,1999,TB040.00012,TB0632,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.005,EVN.CO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.1,NULL
0022D00_RECLOSER,USING,HSX.00299,2016,TB040.00006,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00006,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,125,50,24,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2001,TB040.00117,TB0631,PB-500012,125,50,5,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00021,TB0631,PB-500012,125,50,66,NULL,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2021,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00126,2020,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.6
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00012,TB0632,PB-500012,125,50,50,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.6,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2012,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,RETIRE,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2010,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2022,TB040.00012,TB0632,PB-500012,125,50,100,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.001,EVN.KO,TBI_TT_FCO_UDM.5,TBI_TT_RECLOSER_INMDM.1,NULL
0022D00_RECLOSER,USING,HSX.00161,2021,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2012,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2014,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2007,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00299,2013,TB040.00117,TB0632,PB-500012,125,50,10,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2011,TB040.00117,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00299,2016,TB040.00006,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00021,TB0632,PB-500012,150,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.4,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00299,2014,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00272,2018,TB040.00117,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.10
0022D00_RECLOSER,USING,HSX.00126,2017,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,RETIRE,HSX.00126,2008,TB040.00012,TB0632,PB-500012,125,50,320,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2017,TB040.00001,TB0631,PB-500012,125,50,78,PB-500049,PE2045,PB-500116,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.14
0022D00_RECLOSER,USING,PB-100087,2021,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500525
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00012,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2012,TB040.00001,TB0632,PB-500012,125,50,10,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2014,TB040.00021,TB0632,PB-500013,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,PB-100087,2021,TB040.00001,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00117,TB0631,PB-500012,125,50,1,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00225,2020,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500525
0022D00_RECLOSER,USING,HSX.00126,2020,TB040.00012,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500525
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00134,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,NULL
0022D00_RECLOSER,RETIRE,HSX.00326,2005,TB040.00157,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.8
0022D00_RECLOSER,USING,HSX.00161,2019,TB040.00001,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,PB-500230
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,PB-500230
0022D00_RECLOSER,USING,HSX.00299,2020,TB040.00006,TB0631,PB-500013,125,50,10000,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.14
0022D00_RECLOSER,USING,HSX.00161,2021,TB040.00001,TB0631,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.1,NULL
0022D00_RECLOSER,USING,PB-100087,2021,TB040.00001,TB0632,PB-500013,150,60,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,PB-500525
